Search terms report
All time
Search term,Match type,Added/Excluded,Campaign,Ad group,Currency code,Avg. CPM,Impr.,Interactions,Interaction rate,Avg. cost,Cost,Campaign type,Conv. rate,Conversions,Cost / conv.
konark vaayu reviews,Phrase match,None,Konark Vaayu,Brand,INR,0.00,3,0,0.00%,0,0.00,Search,0.00%,0.00,0.00
konark project goregaon west,Exact match (close variant),None,Konark Vaayu,Brand,INR,93859.54,60,18,30.00%,312.87,5631.57,Search,5.56%,1.00,5631.57
konark developers goregaon west,Phrase match,None,Konark Vaayu,Brand,INR,73125.86,99,22,22.22%,329.07,7239.46,Search,9.09%,2.00,3619.73
ekta tripolis motilal nagar i goregaon west mumbai maharashtra 400104,Phrase match (close variant),None,Konark Vaayu,Brand,INR,21496.63,86,7,8.14%,264.10,1848.71,Search,0.00%,0.00,0.00
rustomjee ozone tower rustomjee ozone shankar nagar mahesh nagar goregaon west mumbai maharashtra,Phrase match (close variant),None,Konark Vaayu,Brand,INR,0.00,2,0,0.00%,0,0.00,Search,0.00%,0.00,0.00
konark vaayu,Exact match,Added,Konark Vaayu,Brand,INR,59042.54,905,167,18.45%,319.96,53433.50,Search,2.99%,5.00,10686.70
konark vaayu goregaon,Exact match (close variant),Added,Konark Vaayu,Brand,INR,62574.61,36,7,19.44%,321.81,2252.69,Search,0.00%,0.00,0.00
konark vayu goregaon west,Phrase match,None,Konark Vaayu,Brand,INR,0.00,3,0,0.00%,0,0.00,Search,0.00%,0.00,0.00
konark vaayu reviews,Phrase match (close variant),None,Konark Vaayu,Brand,INR,0.00,2,0,0.00%,0,0.00,Search,0.00%,0.00,0.00
mahindra eminente sitaram patkar rd piramal nagar goregaon west mumbai maharashtra 400104,Phrase match (close variant),None,Konark Vaayu,Brand,INR,0.00,2,0,0.00%,0,0.00,Search,0.00%,0.00,0.00
konark goregaon west,Exact match (close variant),Added,Konark Vaayu,Brand,INR,55186.47,81,17,20.99%,262.95,4470.10,Search,5.88%,1.00,4470.10
konark goregaon west,Exact match,Added,Konark Vaayu,Brand,INR,81579.98,88,26,29.55%,276.12,7179.04,Search,3.85%,1.00,7179.04
konark goregaon,Exact match,Added,Konark Vaayu,Brand,INR,95173.64,11,3,27.27%,348.97,1046.91,Search,0.00%,0.00,0.00
konark developers goregaon,Phrase match,None,Konark Vaayu,Brand,INR,106834.72,26,11,42.31%,252.52,2777.70,Search,0.00%,0.00,0.00
konark vayu,Exact match (close variant),None,Konark Vaayu,Brand,INR,0.00,6,0,0.00%,0,0.00,Search,0.00%,0.00,0.00
konark vaayu ganesh nagar off swami vivekananda road opposite to dlh udaka best nagar goregaon west mumbai maharashtra 400104,Phrase match,None,Konark Vaayu,Brand,INR,0.00,2,0,0.00%,0,0.00,Search,0.00%,0.00,0.00
konark vaayu goregaon,Exact match,Added,Konark Vaayu,Brand,INR,57278.06,97,17,17.53%,326.82,5555.97,Search,11.76%,2.00,2777.99
sethia green view motilal nagar iii goregaon west mumbai maharashtra 400104,Phrase match (close variant),None,Konark Vaayu,Brand,INR,0.00,2,0,0.00%,0,0.00,Search,0.00%,0.00,0.00
konark valley goregaon west,Exact match (close variant),None,Konark Vaayu,Brand,INR,0.00,12,0,0.00%,0,0.00,Search,0.00%,0.00,0.00
konark vaayu goregaon,Phrase match,Added,Konark Vaayu,Brand,INR,108649.59,54,17,31.48%,345.12,5867.08,Search,11.76%,2.00,2933.54
konark vaayu goregaon west,Exact match,Added,Konark Vaayu,Brand,INR,60930.98,452,90,19.91%,306.01,27540.80,Search,15.56%,14.00,1967.20
konark vaayu off swami vivekananda road opposite to dlh udaka best nagar goregaon west mumbai maharashtra,Phrase match,None,Konark Vaayu,Brand,INR,87052.50,4,1,25.00%,348.21,348.21,Search,0.00%,0.00,0.00
manshi adinarayan residency radheshyam niwas jawahar nagar goregaon west mumbai maharashtra 400104,Phrase match (close variant),None,Konark Vaayu,Brand,INR,0.00,2,0,0.00%,0,0.00,Search,0.00%,0.00,0.00
konark developer goregaon west,Phrase match,None,Konark Vaayu,Brand,INR,188777.50,4,2,50.00%,377.56,755.11,Search,0.00%,0.00,0.00
konark group goregaon west,Phrase match,None,Konark Vaayu,Brand,INR,17945.25,14,2,14.29%,125.62,251.23,Search,0.00%,0.00,0.00
Total: Filtered search terms,,,,,INR,61470.09,"2,053",407,19.82%,310.07,126198.09,,6.88%,28.00,4507.07
Total: Account,,,,,INR,372.39,"475,066","8,381",1.76%,21.11,176911.37,,0.49%,41.00,4314.91
Total: Demand Gen,,,,,INR,51.85,"472,614","7,897",1.67%,3.10,24504.79,Demand Gen,0.13%,10.00,2450.48
Total: Search,,,,,INR,62156.03,"2,452",484,19.74%,314.89,152406.58,Search,6.40%,31.00,4916.34
